,,,,,,,,,,30 Dec,6 Jan,13 Jan,20 Jan,27 Jan,3 Feb,10 Feb,17 Feb,24 Feb,3 Mar,10 Mar,17 Mar,,,,,,,,,,,,,,,,,,,,,,
Total capacity without leaves,,,,,,,,,,50,50,50,50,50,50,50,50,50,45,45,45,,,,,,,,,,,,,,,,,,,,,,
Planned Leaves and Holidays,,,,,,,,,,21.5,7.5,5.5,2,27.5,7,6.5,1,0,5.5,1,0,,,,,,,,,,,,,,,,,,,,,,
"Total planned week capacity (incl. planned leave, etc.)					",,,,,,,,,,28.5,42.5,44.5,48,22.5,43,43.5,49,50,39.5,44,45,,,,,,,,,,,,,,,,,,,,,,
"Unplanned lost capacity (MCs, material defects, etc.)",,,,,,,,,,,,,1,,2,0.5,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Remaining Capacity,,,,,,,,,,1.5,-1,0,0,0,0,0,0,0,0,-1,45,,,,,,,,,,,,,,,,,,,,,,
Project Name,Status,Category,Clickup Title,Start Date,End Date,Start Quarter,End Quarter,Est.,Rem.,30 Dec,6 Jan,13 Jan,20 Jan,27 Jan,3 Feb,10 Feb,17 Feb,24 Feb,3 Mar,10 Mar,17 Mar,,,,,,,,,,,,,,,,,,,,,,
Product Support,Ongoing,Product,-,,,Q1,,N/A,N/A,,,2,6,3,6,8,4,9,3.5,6,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Ongoing,Tech,-,,,Q1,,N/A,N/A,,,2,2,2,,,5.5,5,1,3,,,,,,,,,,,,,,,,,,,,,,,
Bug Fixes,Ongoing,Product,,,,,,N/A,N/A,,,8,17,4.5,4.5,,2.5,14.5,5,8.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VAPT A-prime, Atlas, Mobile",Ongoing,Tech,,10-Dec-2024,19-Mar-2025,Q4 2024,Q1,N/A,N/A,16,13,26.5,5,1,3.5,1.5,6.5,5,3,,,,,,,,,,,,,,,,,,,,,,,,
Branching Strategy Improvements,Ongoing,Tech,,16-Jan-2025,18-Mar-2025,Q1,,N/A,N/A,,,1,5,2.5,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentry Integration and Fixes,Completed,Tech,,4-Dec-2024,10-Feb-2025,Q4 2024,Q1,N/A,N/A,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pubsub Fixes,Ongoing,Product,,26-Sep-2024,,,,38,3,,,,,4.5,7,,5,6,9.5,3,,,,,,,,,,,,,,,,,,,,,,,
"KYC Phase 1: UI Flow, Audit & Tech",Ongoing,Product,,,,,,74,0.5,,,,3,5,16,29,18.5,2,1,2,,,,,,,,,,,,,,,,,,,,,,,
e-KYC Plase 2 w/ Onfido,Blocked,Product,,,,,,,,,,,,,,,,2.5,1,,,,,,,,,,,,,,,,,,,,,,,,
Exchange Notices,Solutioning,Product,,25-Nov-2024,,Q4 2024,Q1,,-10,,2,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,
Aprime Refactoring,Ongoing,Tech,,,,,,N/A,N/A,,2,4,5,,1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke Test Automation,Ongoing,QA,,9-Dec-2024,,Q4 2024,,N/A,N/A,2,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondaries Exchange Integration,Solutioning,Product,,,,,,18.5,1,,,,,,,,3,4,6,11.5,,,,,,,,,,,,,,,,,,,,,,,
Chat Application w/ AI Backend,Ongoing,Tech,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Audit Logs Atlas,Ongoing,Tech,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,
Custody External Transfer,Completed,Product,,25-Nov-2024,8-Jan-2025,Q4 2024,Q1,21,21,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXG Good-Til-Date Order,Completed,Product,,Nov 12,13-Jan-2025,Q4 2024,Q1,N/A,N/A,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10
"Phase 2 Access fee, management fee GST",Completed,Product,,2-Dec-2024,7-Jan-2025,Q4 2024,Q1,N/A,N/A,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAPT Custody,Completed,Tech,,10-Dec-2024,16-Jan-2025,Q4 2024,Q1,N/A,N/A,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas: User Management,Not Started,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KYC Phase 2,Solutioning,Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
